x,activation
-3.000000000000000000e+01,-9.599999999999999645e-01
-2.996998499249624714e+01,-9.581990995497747798e-01
-2.993996998499249784e+01,-9.563981990995498172e-01
-2.990995497748874499e+01,-9.545972986493246326e-01
-2.987993996998499213e+01,-9.527963981990994480e-01
-2.984992496248123928e+01,-9.509954977488742633e-01
-2.981990995497748997e+01,-9.491945972986494118e-01
-2.978989494747373712e+01,-9.473936968484242271e-01
-2.975987993996998426e+01,-9.455927963981989315e-01
-2.972986493246623141e+01,-9.437918959479738579e-01
-2.969984992496248211e+01,-9.419909954977488953e-01
-2.966983491745872925e+01,-9.401900950475237106e-01
-2.963981990995497640e+01,-9.383891945972985260e-01
-2.960980490245122709e+01,-9.365882941470735634e-01
-2.957978989494747424e+01,-9.347873936968483788e-01
-2.954977488744372138e+01,-9.329864932466231942e-01
-2.951975987993996853e+01,-9.311855927963980095e-01
-2.948974487243621923e+01,-9.293846923461730469e-01
-2.945972986493246637e+01,-9.275837918959478623e-01
-2.942971485742871351e+01,-9.257828914457226777e-01
-2.939969984992496421e+01,-9.239819909954977151e-01
-2.936968484242121136e+01,-9.221810905452725304e-01
-2.933966983491745850e+01,-9.203801900950474568e-01
-2.930965482741370565e+01,-9.185792896448222722e-01
-2.927963981990995634e+01,-9.167783891945973096e-01
-2.924962481240620349e+01,-9.149774887443720139e-01
-2.921960980490245063e+01,-9.131765882941469403e-01
-2.918959479739869778e+01,-9.113756878439217557e-01
-2.915957978989494848e+01,-9.095747873936967931e-01
-2.912956478239119562e+01,-9.077738869434716085e-01
-2.909954977488744277e+01,-9.059729864932464238e-01
-2.906953476738369346e+01,-9.041720860430214612e-01
-2.903951975987994061e+01,-9.023711855927962766e-01
-2.900950475237618775e+01,-9.005702851425713140e-01
-2.897948974487243490e+01,-8.987693846923461294e-01
-2.894947473736868560e+01,-8.969684842421211668e-01
-2.891945972986493274e+01,-8.951675837918959822e-01
-2.888944472236117988e+01,-8.933666833416709085e-01
-2.885942971485742703e+01,-8.915657828914457239e-01
-2.882941470735367773e+01,-8.897648824412207613e-01
-2.879939969984992487e+01,-8.879639819909955767e-01
-2.876938469234617202e+01,-8.861630815407703921e-01
-2.873936968484242271e+01,-8.843621810905454295e-01
-2.870935467733866986e+01,-8.825612806403202448e-01
-2.867933966983491700e+01,-8.807603801900950602e-01
-2.864932466233116415e+01,-8.789594797398698756e-01
-2.861930965482741485e+01,-8.771585792896449130e-01
-2.858929464732366199e+01,-8.753576788394197283e-01
-2.855927963981990914e+01,-8.735567783891945437e-01
-2.852926463231615628e+01,-8.717558779389693591e-01
-2.849924962481240698e+01,-8.699549774887443965e-01
-2.846923461730865412e+01,-8.681540770385192118e-01
-2.843921960980490127e+01,-8.663531765882941382e-01
-2.840920460230115197e+01,-8.645522761380691756e-01
-2.837918959479739911e+01,-8.627513756878439910e-01
-2.834917458729364625e+01,-8.609504752376188064e-01
-2.831915957978989340e+01,-8.591495747873935107e-01
-2.828914457228614410e+01,-8.573486743371686591e-01
-2.825912956478239124e+01,-8.555477738869434745e-01
-2.822911455727863839e+01,-8.537468734367182899e-01
-2.819909954977488553e+01,-8.519459729864931052e-01
-2.816908454227113623e+01,-8.501450725362681426e-01
-2.813906953476738337e+01,-8.483441720860429580e-01
-2.810905452726363052e+01,-8.465432716358177734e-01
-2.807903951975988122e+01,-8.447423711855928108e-01
-2.804902451225612836e+01,-8.429414707353677372e-01
-2.801900950475237551e+01,-8.411405702851425525e-01
-2.798899449724862620e+01,-8.399999999999999689e-01
-2.795897948974487335e+01,-8.399999999999999689e-01
-2.792896448224112049e+01,-8.399999999999999689e-01
-2.789894947473736764e+01,-8.399999999999999689e-01
-2.786893446723361478e+01,-8.399999999999999689e-01
-2.783891945972986548e+01,-8.399999999999999689e-01
-2.780890445222611262e+01,-8.399999999999999689e-01
-2.777888944472235977e+01,-8.399999999999999689e-01
-2.774887443721861047e+01,-8.399999999999999689e-01
-2.771885942971485761e+01,-8.399999999999999689e-01
-2.768884442221110476e+01,-8.399999999999999689e-01
-2.765882941470735545e+01,-8.399999999999999689e-01
-2.762881440720360260e+01,-8.399999999999999689e-01
-2.759879939969984974e+01,-8.399999999999999689e-01
-2.756878439219609689e+01,-8.399999999999999689e-01
-2.753876938469234759e+01,-8.399999999999999689e-01
-2.750875437718859473e+01,-8.399999999999999689e-01
-2.747873936968484188e+01,-8.399999999999999689e-01
-2.744872436218108902e+01,-8.399999999999999689e-01
-2.741870935467733972e+01,-8.399999999999999689e-01
-2.738869434717358686e+01,-8.399999999999999689e-01
-2.735867933966983401e+01,-8.399999999999999689e-01
-2.732866433216608471e+01,-8.399999999999999689e-01
-2.729864932466233185e+01,-8.399999999999999689e-01
-2.726863431715857899e+01,-8.399999999999999689e-01
-2.723861930965482614e+01,-8.399999999999999689e-01
-2.720860430215107684e+01,-8.399999999999999689e-01
-2.717858929464732398e+01,-8.399999999999999689e-01
-2.714857428714357113e+01,-8.399999999999999689e-01
-2.711855927963981827e+01,-8.399999999999999689e-01
-2.708854427213606897e+01,-8.399999999999999689e-01
-2.705852926463231611e+01,-8.399999999999999689e-01
-2.702851425712856326e+01,-8.399999999999999689e-01
-2.699849924962481396e+01,-8.399999999999999689e-01
-2.696848424212106110e+01,-8.399999999999999689e-01
-2.693846923461730825e+01,-8.399999999999999689e-01
-2.690845422711355539e+01,-8.399999999999999689e-01
-2.687843921960980609e+01,-8.399999999999999689e-01
-2.684842421210605323e+01,-8.399999999999999689e-01
-2.681840920460230038e+01,-8.399999999999999689e-01
-2.678839419709854752e+01,-8.399999999999999689e-01
-2.675837918959479822e+01,-8.399999999999999689e-01
-2.672836418209104536e+01,-8.399999999999999689e-01
-2.669834917458729251e+01,-8.399999999999999689e-01
-2.666833416708354321e+01,-8.399999999999999689e-01
-2.663831915957979035e+01,-8.399999999999999689e-01
-2.660830415207603750e+01,-8.399999999999999689e-01
-2.657828914457228464e+01,-8.399999999999999689e-01
-2.654827413706853534e+01,-8.399999999999999689e-01
-2.651825912956478248e+01,-8.399999999999999689e-01
-2.648824412206102963e+01,-8.399999999999999689e-01
-2.645822911455727677e+01,-8.399999999999999689e-01
